"time","$STATESET1.x","$STATESET2.x","der($STATESET1.x)","der($STATESET2.x)","der(vx)","der(vy)","der(x)","der(y)","F","vx","vy","x","y","$STATESET1.A[1]","$STATESET1.A[2]","$STATESET2.A[1]","$STATESET2.A[2]"
0.906,-0.67443890725806,-0.02323488831385698,-9.746449190066166,-0.67443890725806,1.366095565162604,-9.746449190066166,0.03137491980807234,-0.67443890725806,1.367572959150692,0.03137491980807234,-0.67443890725806,-0.4994598482010767,-0.02323488831385698,1,0,0,1
0.908,-0.6939242166575098,-0.02460325713420556,-9.738743306398568,-0.6939242166575098,1.446360835282319,-9.738743306398568,0.03418700512540268,-0.6939242166575098,1.448115044539479,0.03418700512540268,-0.6939242166575098,-0.4993943128815027,-0.02460325713420556,1,0,0,1
0.91,-0.7133934371881966,-0.02601058130882401,-9.730358200702517,-0.7133934371881966,1.528877074568654,-9.730358200702517,0.03716187382868195,-0.7133934371881966,1.530950007458423,0.03716187382868195,-0.7133934371881966,-0.4993229913192232,-0.02601058130882401,1,0,0,1
0.912,-0.7328451709149902,-0.02745682763052501,-9.721255366498088,-0.7328451709149902,1.613637389669427,-9.721255366498088,0.04030402153721804,-0.7328451709149902,1.616075875481888,0.04030402153721804,-0.7328451709149902,-0.4992455534268359,-0.02745682763052501,1,0,0,1
0.914,-0.7522779484956778,-0.02894195786721229,-9.711395300370153,-0.7522779484956778,1.700634276458557,-9.711395300370153,0.04361792666207107,-0.7522779484956778,1.703490483993032,0.04361792666207107,-0.7522779484956778,-0.499161660261295,-0.02894195786721229,1,0,0,1
0.916,-0.7716902150479268,-0.03046593268970061,-9.700737496132515,-0.7716902150479268,1.789859633440394,-9.700737496132515,0.04710805447022971,-0.7716902150479268,1.793191512965297,0.04710805447022971,-0.7716902150479268,-0.4990709638371548,-0.03046593268970061,1,0,0,1
0.918,-0.791080332852614,-0.03202870993983035,-9.689240460013339,-0.791080332852614,1.881304710933025,-9.689240460013339,0.05077885391590753,-0.791080332852614,1.885176459081903,0.05077885391590753,-0.791080332852614,-0.4989731072308309,-0.03202870993983035,1,0,0,1
0.92,-0.8104465815024562,-0.03363024375736892,-9.67686172447616,-0.8104465815024562,1.97496007030371,-9.67686172447616,0.05463475534917308,-0.8104465815024562,1.979442618441741,0.05463475534917308,-0.8104465815024562,-0.4988677246573684,-0.03363024375736892,1,0,0,1
0.922,-0.8297871544605704,-0.03527048491374785,-9.663557857880857,-0.8297871544605704,2.070815555274494,-9.663557857880857,0.05868016979718291,-0.8297871544605704,2.075987082078126,0.05868016979718291,-0.8297871544605704,-0.4987544414779172,-0.03527048491374785,1,0,0,1
0.924,-0.849100159831788,-0.03694937900126834,-9.64928448582504,-0.849100159831788,2.168860234007683,-9.64928448582504,0.0629194849136247,-0.849100159831788,2.174806702021213,0.0629194849136247,-0.849100159831788,-0.4986328743589021,-0.03694937900126834,1,0,0,1
