"time","F12.F1.y","F12.F2.y","der(F12.F1.y)","der(F12.F2.y)","F12.F1.u","F12.F2.u"
4.41,0.5797616012801058,0.9523628128945488,-0.2557315621567204,-0.03387283741949482,-0.9546277716602164,0.5797616012801058
4.412,0.5792501402065503,0.9522950287996342,-0.2557452675829064,-0.03391317169028036,-0.9552214652908879,0.5792501402065503
4.414,0.5787386522686984,0.9522271640219981,-0.2557583317176117,-0.0339535010684818,-0.9558113380369719,0.5787386522686984
4.416,0.5782271386897363,0.9521592185708988,-0.2557707543714525,-0.03399382544374205,-0.9563973875389784,0.5782271386897363
4.418,0.5777156002815582,0.9520911924580565,-0.2557825352890447,-0.03403414474331803,-0.9569796114527097,0.5777156002815582
4.42,0.5772040387885319,0.95202308569036,-0.2557936743729672,-0.0340744588092571,-0.9575580074492711,0.5772040387885319
4.422,0.5766924554862719,0.9519548982774713,-0.2558041714502253,-0.03411476752647267,-0.9581325732150796,0.5766924554862719
4.424,0.5761808516506768,0.9518866302292813,-0.2558140263504249,-0.03415507077987314,-0.9587033064518728,0.5761808516506768
4.426,0.5756692285579255,0.9518182815559081,-0.255823238905774,-0.03419536845436206,-0.9592702048767184,0.5756692285579255
4.428,0.5751575874844711,0.9517498522676996,-0.2558318089510824,-0.03423566043483895,-0.9598332662220235,0.5751575874844711
4.43,0.5746459297070372,0.9516813423752314,-0.2558397363237634,-0.03427594660619947,-0.9603924882355434,0.5746459297070372
4.432,0.5741342565026128,0.9516127518893084,-0.255847020863834,-0.03431622685333596,-0.9609478686803912,0.5741342565026128
4.434,0.5736225691484493,0.9515440808209643,-0.2558536624139158,-0.03435650106113772,-0.9614994053350452,0.5736225691484493
4.436,0.5731108689220528,0.9514753291814627,-0.2558596608192354,-0.03439676911449181,-0.9620470959933599,0.5731108689220528
4.438,0.5725991571011821,0.9514064969822957,-0.2558650159276259,-0.03443703089828305,-0.9625909384645733,0.5725991571011821
4.44,0.5720874349638432,0.9513375842351858,-0.2558697275895266,-0.03447728629739478,-0.9631309305733167,0.5720874349638432
4.442,0.5715757037882847,0.9512685909520847,-0.2558737956579844,-0.03451753519670909,-0.9636670701596216,0.5715757037882847
4.444,0.5710639648529935,0.9511995171451747,-0.255877219988654,-0.03455777748110738,-0.9641993550789308,0.5710639648529935
4.446,0.570552219436689,0.9511303628268677,-0.255880000439799,-0.03459801303547079,-0.9647277832021053,0.570552219436689
4.448,0.5700404688183199,0.951061128009806,-0.2558821368722923,-0.03463824174468055,-0.9652523524154335,0.5700404688183199
4.45,0.5695287142770596,0.9509918127068633,-0.2558836291496164,-0.03467846349361851,-0.9657730606206388,0.5695287142770596
4.452,0.5690169570923,0.9509224169311425,-0.2558844771378649,-0.0347186781671675,-0.9662899057348894,0.5690169570923
4.454,0.5685051985436489,0.9508529406959788,-0.2558846807057424,-0.03475888565021181,-0.9668028856908053,0.5685051985436489
4.456,0.567993439910923,0.9507833840149377,-0.2558842397245651,-0.03479908582763769,-0.9673119984364679,0.567993439910923
4.458,0.5674816824741467,0.9507137469018162,-0.2558831540682622,-0.0348392785843336,-0.9678172419354262,0.5674816824741467
4.46,0.5669699275135436,0.9506440293706426,-0.2558814236133751,-0.03487946380519082,-0.9683186141667072,0.5669699275135436
4.462,0.5664581763095347,0.9505742314356773,-0.2558790482390595,-0.03491964137510388,-0.9688161131248225,0.5664581763095347
4.464,0.5659464301427326,0.9505043531114116,-0.255876027827085,-0.03495981117897082,-0.9693097368197774,0.5659464301427326
4.466,0.5654346902939373,0.9504343944125702,-0.2558723622618357,-0.03499997310169389,-0.9697994832770772,0.5654346902939373
4.468,0.5649229580441314,0.9503643553541083,-0.2558680514303114,-0.03504012702817972,-0.9702853505377369,0.5649229580441314
4.47,0.5644112346744754,0.950294235951215,-0.2558630952221273,-0.03508027284333996,-0.9707673366582883,0.5644112346744754
4.472,0.5638995214663023,0.9502240362193108,-0.255857493529515,-0.03512041043209169,-0.9712454397107875,0.5638995214663023
4.474,0.5633878197011156,0.9501537561740501,-0.255851246247323,-0.03516053967935768,-0.9717196577828227,0.5633878197011156
4.476,0.5628761306605817,0.9500833958313188,-0.2558443532730174,-0.03520066047006701,-0.9721899889775224,0.5628761306605817
4.478,0.5623644556265271,0.9500129552072368,-0.2558368145066816,-0.03524077268915542,-0.9726564314135624,0.5623644556265271
4.48,0.5618527958809324,0.9499424343181575,-0.2558286298510177,-0.03528087622156592,-0.9731189832251739,0.5618527958809324
4.482,0.5613411527059295,0.9498718331806671,-0.2558197992113465,-0.03532097095224887,-0.9735776425621496,0.5613411527059295
4.484,0.5608295273837955,0.9498011518115859,-0.2558103224956081,-0.03536105676616275,-0.9740324075898533,0.5608295273837955
4.486,0.5603179211969485,0.9497303902279679,-0.2558001996143623,-0.0354011335482745,-0.9744832764892254,0.5603179211969485
4.488,0.5598063354279427,0.949659548447101,-0.2557894304807889,-0.03544120118355985,-0.974930247456791,0.5598063354279427
4.49,0.5592947713594651,0.9495886264865075,-0.2557780150106886,-0.03548125955700385,-0.9753733187046665,0.5592947713594651
4.492,0.5587832302743293,0.9495176243639442,-0.2557659531224828,-0.03552130855360135,-0.9758124884605677,0.5587832302743293
4.494,0.5582717134554717,0.9494465420974018,-0.2557532447372146,-0.03556134805835728,-0.976247754967816,0.5582717134554717
4.496,0.5577602221859456,0.9493753797051068,-0.2557398897785487,-0.03560137795628738,-0.9766791164853464,0.5577602221859456
4.498,0.5572487577489197,0.9493041372055198,-0.2557258881727721,-0.03564139813241819,-0.9771065712877129,0.5572487577489197
4.5,0.5567373214276699,0.9492328146173367,-0.2557112398487945,-0.03568140847178789,-0.977530117665097,0.5567373214276699
4.502,0.5562259145055766,0.9491614119594891,-0.2556959447381484,-0.03572140885944659,-0.977949753923314,0.5562259145055766
4.504,0.5557145382661198,0.9490899292511437,-0.2556800027749898,-0.03576139918045671,-0.978365478383819,0.5557145382661198
4.506,0.5552031939928742,0.9490183665117029,-0.2556634138960983,-0.03580137931989352,-0.9787772893837152,0.5552031939928742
4.508,0.554691886459315,0.9489467241033808,-0.2556461786225123,-0.03584134887673325,-0.9791851852757588,0.554691886459315
4.51,0.5541806145369107,0.9488750018092507,-0.2556282964942129,-0.03588130793384909,-0.9795891644283669,0.5541806145369107
4.512,0.5536693788376448,0.9488031995834719,-0.255609767343878,-0.03592125643143883,-0.9799892252256233,0.5536693788376448
4.514,0.5531581806637715,0.9487313174481926,-0.2555905911218428,-0.03596119425312919,-0.9803853660672857,0.5531581806637715
4.516,0.5526470213180679,0.9486593554258411,-0.2555707677811431,-0.03600112128252484,-0.9807775853687908,0.5526470213180679
4.518,0.5521359021038331,0.9485873135391282,-0.2555502972775159,-0.03604103740320864,-0.9811658815612621,0.5521359021038331
4.52,0.5516248243248894,0.9485151918110456,-0.2555291795694008,-0.03608094249874148,-0.9815502530915153,0.5516248243248894
4.522,0.5511137892855822,0.9484429902648691,-0.2555074146179412,-0.03612083645266245,-0.9819306984220653,0.5511137892855822
4.524,0.5506027982907812,0.9483707089241572,-0.2554850023869853,-0.03616071914848873,-0.9823072160311305,0.5506027982907812
4.526,0.5500918526458788,0.9482983478127527,-0.2554619428430867,-0.03620059046971581,-0.9826798044126412,0.5500918526458788
4.528,0.5495809536567913,0.9482259069547835,-0.255438235955506,-0.03624045029981748,-0.9830484620762447,0.5495809536567913
4.53,0.5490701026299594,0.9481533863746623,-0.2554138816962117,-0.03628029852224572,-0.9834131875473108,0.5490701026299594
4.532,0.5485593008723481,0.9480807860970883,-0.255388880039881,-0.03632013502043094,-0.9837739793669377,0.5485593008723481
4.534,0.5480485496914465,0.9480081061470476,-0.2553632309639008,-0.03635995967778192,-0.9841308360919587,0.5480485496914465
4.536,0.5475378503952688,0.9479353465498136,-0.2553369344483694,-0.03639977237768589,-0.9844837562949477,0.5475378503952688
4.538,0.5470272042923536,0.9478625073309476,-0.2553099904760963,-0.03643957300350854,-0.9848327385642243,0.5470272042923536
4.54,0.5465166126917654,0.9477895885162996,-0.2552823990326041,-0.03647936143859401,-0.9851777815038595,0.5465166126917654
4.542,0.5460060769030933,0.9477165901320095,-0.2552541601061293,-0.0365191375662651,-0.9855188837336822,0.5460060769030933
4.544,0.5454955982364524,0.9476435122045066,-0.2552252736876228,-0.03655890126982311,-0.9858560438892842,0.5454955982364524
4.546,0.5449851780024828,0.9475703547605112,-0.2551957397707513,-0.03659865243254803,-0.9861892606220251,0.5449851780024828
4.548,0.5444748175123517,0.9474971178270352,-0.2551655583518984,-0.0366383909376985,-0.9865185325990383,0.5444748175123517
4.55,0.5439645180777516,0.9474238014313822,-0.2551347294301647,-0.03667811666851187,-0.9868438585032365,0.5439645180777516
4.552,0.5434542810109018,0.9473504056011482,-0.2551032530073697,-0.03671782950820423,-0.9871652370333165,0.5434542810109018
4.554,0.5429441076245476,0.9472769303642233,-0.2550711290880521,-0.03675752933997052,-0.9874826669037647,0.5429441076245476
4.556,0.5424339992319622,0.9472033757487912,-0.2550383576794706,-0.03679721604698445,-0.9877961468448618,0.5424339992319622
4.558,0.5419239571469447,0.94712974178333,-0.2550049387916056,-0.03683688951239866,-0.9881056756026886,0.5419239571469447
4.56,0.5414139826838223,0.9470560284966134,-0.2549708724371588,-0.03687654961934464,-0.9884112519391305,0.5414139826838223
4.562,0.5409040771574488,0.9469822359177109,-0.2549361586315552,-0.03691619625093292,-0.9887128746318825,0.5409040771574488
4.564,0.5403942418832066,0.9469083640759892,-0.2549007973929435,-0.03695582929025296,-0.9890105424744543,0.5403942418832066
4.566,0.539884478177005,0.9468344130011114,-0.2548647887421966,-0.0369954486203733,-0.9893042542761747,0.539884478177005
4.568,0.5393747873552824,0.946760382723039,-0.2548281327029133,-0.0370350541243415,-0.9895940088621973,0.5393747873552824
4.57,0.5388651707350042,0.9466862732720321,-0.254790829301418,-0.03707464568518436,-0.9898798050735039,0.5388651707350042
4.572,0.5383556296336656,0.9466120846786499,-0.2547528785667626,-0.03711422318590767,-0.9901616417669099,0.5383556296336656
4.574,0.5378461653692896,0.9465378169737517,-0.2547142805307265,-0.03715378650949655,-0.9904395178150691,0.5378461653692896
4.576,0.5373367792604288,0.9464634701884975,-0.2546750352278177,-0.03719333553891534,-0.9907134321064776,0.5373367792604288
4.578,0.5368274726261641,0.946389044354348,-0.2546351426952738,-0.03723287015710763,-0.9909833835454788,0.5368274726261641
4.58,0.5363182467861068,0.9463145395030661,-0.2545946029730623,-0.03727239024699629,-0.991249371052267,0.5363182467861068
4.582,0.535809103060397,0.9462399556667174,-0.2545534161038816,-0.03731189569148367,-0.9915113935628925,0.535809103060397
4.584,0.5353000427697047,0.9461652928776704,-0.2545115821331618,-0.03735138637345143,-0.991769450029266,0.5353000427697047
4.586,0.5347910672352297,0.9460905511685979,-0.2544691011090652,-0.03739086217576074,-0.9920235394191617,0.5347910672352297
4.588,0.5342821777787028,0.9460157305724762,-0.2544259730824875,-0.03743032298125213,-0.9922736607162224,0.5342821777787028
4.59,0.5337733757223846,0.9459408311225882,-0.254382198107058,-0.03746976867274578,-0.9925198129199632,0.5337733757223846
4.592,0.5332646623890657,0.9458658528525216,-0.2543377762391402,-0.03750919913304145,-0.9927619950457757,0.5332646623890657
4.594,0.5327560391020686,0.9457907957961709,-0.2542927075378334,-0.03754861424491839,-0.9930002061249317,0.5327560391020686
4.596,0.5322475071852466,0.9457156599877377,-0.2542469920649723,-0.03758801389113555,-0.9932344452045873,0.5322475071852466
